0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,年,月,日,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位
 21, 18, 16, 13, 12, 11, 11, 12, 14, 16, 18, 18, 18, 18, 18, 18, 17, 18, 19, 21, 22, 24, 25, 25,23, 1, 1,1144, 19,2220, 25,"","","","", 5 9, 11,1548, 17,"","","",""
 23, 21, 18, 14, 11,  9,  8,  8, 10, 12, 14, 17, 18, 19, 20, 21, 21, 21, 22, 23, 24, 26, 27, 27,23, 1, 2,2243, 27,"","","","","","", 622,  8,"","","","","",""
 26, 24, 21, 17, 13, 10,  8,  7,  7,  9, 11, 14, 17, 20, 21, 22, 23, 24, 24, 25, 26, 27, 28, 29,23, 1, 3,2315, 29,"","","","","","", 716,  6,"","","","","",""
 29, 27, 24, 21, 17, 12,  9,  6,  6,  7,  9, 12, 16, 19, 22, 23, 25, 25, 26, 26, 27, 28, 29, 30,23, 1, 4,2353, 31,"","","","","","", 8 0,  6,"","","","","",""
 31, 30, 28, 24, 20, 15, 11,  8,  6,  5,  7, 10, 14, 18, 21, 24, 25, 26, 26, 27, 27, 28, 29, 30,23, 1, 5,"","","","","","","","", 838,  5,"","","","","",""
 31, 32, 30, 28, 24, 19, 14,  9,  6,  5,  5,  8, 12, 16, 20, 23, 25, 26, 26, 26, 26, 27, 28, 30,23, 1, 6, 037, 32,"","","","","","", 914,  5,"","","","","",""
 31, 32, 32, 30, 27, 22, 17, 11,  7,  5,  4,  5,  9, 13, 17, 21, 23, 25, 25, 25, 25, 25, 26, 28,23, 1, 7, 122, 32,"","","","","","", 950,  4,"","","","","",""
 30, 31, 32, 31, 29, 25, 20, 14,  9,  5,  3,  3,  5,  9, 14, 18, 21, 23, 23, 23, 23, 23, 24, 25,23, 1, 8, 2 6, 32,"","","","","","",1027,  3,"","","","","",""
 27, 29, 31, 31, 30, 27, 22, 17, 11,  6,  3,  2,  3,  6, 10, 14, 18, 20, 21, 21, 21, 21, 21, 22,23, 1, 9, 247, 31,1833, 21,"","","","",11 5,  2,2050, 21,"","","",""
 24, 26, 28, 29, 29, 27, 24, 19, 13,  8,  4,  2,  2,  3,  7, 11, 15, 17, 19, 20, 19, 19, 19, 19,23, 1,10, 325, 29,1857, 20,"","","","",1140,  1,2132, 19,"","","",""
 20, 22, 24, 26, 27, 26, 24, 20, 15, 10,  6,  3,  2,  2,  5,  8, 12, 15, 17, 18, 18, 17, 17, 17,23, 1,11, 4 2, 27,1920, 18,"","","","",1214,  1,2222, 17,"","","",""
 17, 18, 20, 22, 24, 24, 23, 20, 16, 12,  8,  5,  3,  2,  4,  7, 10, 13, 16, 17, 17, 16, 15, 15,23, 1,12, 439, 24,1938, 17,"","","","",1243,  2,2333, 15,"","","",""
 15, 15, 16, 18, 20, 21, 21, 19, 17, 13, 10,  7,  5,  4,  5,  7, 10, 13, 15, 16, 17, 16, 15, 14,23, 1,13, 520, 21,1952, 17,"","","","",13 7,  4,"","","","","",""
 13, 13, 13, 14, 16, 17, 18, 18, 16, 15, 12, 10,  8,  7,  7,  9, 11, 14, 16, 17, 18, 17, 16, 14,23, 1,14, 614, 18,20 2, 18,"","","","", 110, 13,1323,  7,"","","",""
 13, 12, 11, 11, 12, 13, 15, 15, 16, 15, 14, 13, 11, 11, 11, 12, 13, 15, 17, 19, 20, 20, 18, 16,23, 1,15, 746, 16,2016, 20,"","","","", 233, 11,1325, 11,"","","",""
 14, 12, 10,  9,  9, 10, 11, 12, 14, 15, 15, 15, 15, 15, 15, 15, 16, 18, 20, 21, 22, 23, 22, 20,23, 1,16,1017, 15,2039, 23,"","","","", 351,  9,13 6, 15,"","","",""
 17, 14, 11,  9,  7,  7,  7,  9, 11, 13, 15, 16, 17, 18, 18, 19, 20, 21, 22, 23, 25, 26, 25, 24,23, 1,17,2115, 26,"","","","","","", 5 5,  7,"","","","","",""
 21, 17, 14, 10,  7,  5,  4,  5,  6,  9, 13, 16, 18, 20, 21, 22, 22, 23, 24, 25, 26, 28, 28, 28,23, 1,18,22 5, 28,"","","","","","", 610,  4,"","","","","",""
 26, 22, 18, 14,  9,  5,  3,  1,  2,  5,  8, 13, 17, 20, 22, 23, 24, 24, 25, 26, 27, 28, 30, 31,23, 1,19,23 7, 31,"","","","","","", 7 9,  1,"","","","","",""
 30, 28, 24, 19, 13,  8,  3,  0, -1,  0,  3,  7, 13, 17, 21, 23, 24, 25, 25, 25, 26, 27, 29, 31,23, 1,20,"","","","","","","","", 8 6, -1,"","","","","",""
 32, 32, 29, 25, 19, 13,  6,  1, -3, -4, -3,  1,  7, 13, 18, 21, 23, 24, 24, 23, 24, 25, 26, 29,23, 1,21, 016, 32,"","","","","","", 9 1, -4,"","","","","",""
 31, 33, 33, 30, 25, 19, 12,  4, -1, -5, -6, -4,  0,  7, 13, 17, 20, 22, 22, 21, 21, 21, 22, 24,23, 1,22, 122, 33,1727, 22,"","","","", 955, -6,20 7, 21,"","","",""
 27, 31, 33, 33, 30, 25, 18, 10,  3, -3, -6, -7, -5,  1,  7, 13, 17, 19, 20, 19, 18, 17, 17, 18,23, 1,23, 224, 33,1749, 20,"","","","",1045, -7,2110, 17,"","","",""
 21, 25, 29, 31, 31, 28, 23, 16,  8,  1, -4, -7, -7, -4,  2,  8, 13, 16, 17, 17, 15, 14, 13, 13,23, 1,24, 322, 31,1814, 18,"","","","",1132, -7,2221, 13,"","","",""
 14, 17, 22, 26, 28, 27, 25, 20, 13,  6,  0, -3, -5, -5, -1,  5, 10, 14, 16, 16, 15, 12, 10,  9,23, 1,25, 420, 28,1840, 16,"","","","",1214, -6,2337,  9,"","","",""
  9, 11, 14, 18, 22, 23, 23, 21, 16, 10,  5,  1, -2, -2, -1,  3,  8, 12, 15, 16, 15, 13, 10,  8,23, 1,26, 518, 24,19 6, 16,"","","","",1252, -2,"","","","","",""
  7,  6,  8, 11, 14, 17, 18, 18, 16, 13,  9,  6,  3,  2,  2,  4,  8, 12, 14, 16, 16, 14, 12,  9,23, 1,27, 623, 19,1931, 16,"","","","", 048,  6,1323,  2,"","","",""
  6,  5,  4,  5,  8, 10, 12, 14, 14, 13, 11,  9,  8,  7,  6,  7, 10, 13, 15, 17, 17, 17, 14, 11,23, 1,28, 742, 14,1956, 17,"","","","", 156,  4,1341,  6,"","","",""
  8,  6,  4,  3,  3,  5,  7,  9, 10, 11, 11, 11, 11, 11, 11, 11, 13, 15, 17, 18, 19, 19, 17, 15,23, 1,29, 936, 11,2020, 19,"","","","", 3 8,  3,1235, 11,"","","",""
 12,  9,  6,  4,  2,  2,  3,  5,  7,  8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 21, 20, 18,23, 1,30,2045, 21,"","","","","","", 433,  2,"","","","","",""
 16, 12,  9,  6,  4,  2,  2,  2,  4,  6,  8, 11, 13, 15, 16, 18, 19, 20, 20, 21, 22, 22, 22, 21,23, 1,31,2117, 22,"","","","","","", 559,  2,"","","","","",""
 19, 16, 13, 10,  7,  4,  2,  1,  2,  4,  6,  9, 12, 15, 17, 19, 20, 21, 21, 22, 23, 23, 23, 23,23, 2, 1,2210, 23,"","","","","","", 7 2,  1,"","","","","",""
 22, 20, 17, 14, 10,  6,  3,  2,  1,  2,  4,  8, 11, 14, 17, 19, 20, 21, 21, 22, 22, 23, 24, 24,23, 2, 2,2320, 24,"","","","","","", 749,  1,"","","","","",""
 24, 23, 20, 17, 13,  9,  5,  2,  1,  1,  2,  5,  9, 13, 16, 18, 19, 20, 20, 21, 21, 22, 23, 24,23, 2, 3,"","","","","","","","", 829,  0,"","","","","",""
 24, 24, 23, 20, 16, 12,  7,  3,  0, -1,  0,  3,  6, 10, 14, 16, 18, 19, 19, 18, 19, 19, 20, 22,23, 2, 4, 024, 24,"","","","","","", 9 6, -1,"","","","","",""
 23, 24, 24, 22, 19, 14,  9,  4,  0, -2, -2,  0,  3,  7, 11, 14, 16, 17, 17, 16, 16, 16, 17, 19,23, 2, 5, 118, 24,1714, 17,"","","","", 941, -2,1950, 16,"","","",""
 21, 23, 24, 23, 20, 16, 11,  6,  1, -2, -4, -3, -1,  4,  8, 11, 14, 15, 15, 14, 13, 13, 13, 15,23, 2, 6, 2 4, 24,1721, 15,"","","","",1015, -4,2036, 13,"","","",""
 17, 20, 22, 22, 21, 18, 13,  8,  2, -2, -4, -5, -3,  0,  5,  9, 11, 13, 13, 12, 11, 10, 10, 11,23, 2, 7, 246, 22,1735, 13,"","","","",1048, -5,2123, 10,"","","",""
 13, 15, 18, 20, 20, 18, 14,  9,  4, -1, -4, -5, -5, -2,  2,  6,  9, 11, 11, 11,  9,  8,  7,  7,23, 2, 8, 325, 20,1750, 11,"","","","",1117, -5,2212,  7,"","","",""
  8, 11, 14, 17, 18, 17, 15, 11,  6,  1, -2, -4, -5, -3,  1,  5,  8, 10, 11, 10,  8,  6,  5,  5,23, 2, 9, 4 5, 18,18 3, 11,"","","","",1143, -5,23 5,  5,"","","",""
  5,  7,  9, 13, 15, 15, 14, 12,  8,  4,  0, -2, -3, -2,  1,  5,  8, 10, 11, 11,  9,  7,  5,  3,23, 2,10, 447, 15,1812, 11,"","","","",12 4, -3,2359,  3,"","","",""
  3,  3,  5,  8, 11, 13, 13, 12,  9,  6,  3,  1,  1,  1,  3,  6,  9, 11, 12, 12, 11,  8,  5,  3,23, 2,11, 537, 13,1819, 12,"","","","",1217,  1,"","","","","",""
  2,  2,  2,  4,  7, 10, 11, 11, 10,  9,  7,  5,  4,  5,  6,  8, 11, 13, 15, 15, 13, 11,  8,  5,23, 2,12, 646, 11,1830, 15,"","","","", 054,  2,1214,  4,"","","",""
  2,  1,  1,  2,  4,  6,  8, 10, 10, 10,  9,  9,  8,  9, 10, 11, 13, 15, 17, 17, 17, 14, 11,  8,23, 2,13, 824, 10,1849, 17,"","","","", 152,  1,1154,  8,"","","",""
  5,  2,  1,  0,  1,  2,  5,  7,  9, 10, 11, 11, 12, 12, 13, 14, 16, 18, 19, 20, 20, 18, 16, 12,23, 2,14,1919, 20,"","","","","","", 259,  0,"","","","","",""
  8,  5,  2,  0, -1,  0,  1,  3,  5,  8, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 22, 22, 20, 17,23, 2,15,20 4, 22,"","","","","","", 420, -1,"","","","","",""
 14, 10,  6,  2,  0, -2, -2, -1,  1,  4,  8, 11, 13, 15, 17, 18, 19, 20, 21, 22, 23, 23, 23, 22,23, 2,16,2119, 23,"","","","","","", 546, -2,"","","","","",""
 19, 15, 11,  6,  2, -1, -4, -5, -4, -1,  3,  7, 11, 14, 16, 18, 19, 19, 20, 20, 21, 23, 24, 24,23, 2,17,2255, 24,"","","","","","", 7 0, -5,"","","","","",""
 23, 21, 17, 12,  7,  2, -3, -6, -7, -6, -3,  2,  7, 11, 14, 16, 17, 17, 17, 18, 18, 19, 21, 23,23, 2,18,"","","","","","","","", 8 3, -7,"","","","","",""
 25, 24, 22, 18, 12,  6,  0, -5, -8, -9, -8, -4,  2,  7, 11, 14, 15, 15, 14, 14, 14, 15, 16, 19,23, 2,19, 020, 25,1627, 15,"","","","", 858, -9,1928, 14,"","","",""
 22, 25, 25, 22, 18, 12,  5, -2, -7,-10,-11, -9, -4,  2,  7, 11, 13, 13, 12, 10,  9,  9, 10, 13,23, 2,20, 129, 25,1636, 13,"","","","", 946,-11,2033,  9,"","","",""
 17, 21, 23, 24, 21, 16, 10,  3, -4, -8,-11,-11, -8, -2,  4,  8, 11, 11, 10,  8,  5,  4,  4,  5,23, 2,21, 232, 24,1652, 11,"","","","",1030,-11,2137,  4,"","","",""
  9, 14, 18, 21, 21, 19, 14,  8,  1, -5, -8,-10, -9, -5,  1,  6,  9, 11, 10,  7,  4,  1,  0,  0,23, 2,22, 332, 21,1712, 11,"","","","",11 9,-10,2239,  0,"","","",""
  1,  5, 11, 15, 18, 18, 15, 11,  5,  0, -4, -7, -7, -5,  0,  5,  9, 11, 11,  9,  5,  1, -2, -3,23, 2,23, 431, 18,1733, 11,"","","","",1143, -7,2337, -4,"","","",""
 -4, -2,  3,  8, 12, 14, 14, 12,  8,  4,  0, -2, -3, -3,  0,  5,  9, 11, 12, 11,  7,  3, -1, -4,23, 2,24, 534, 14,1755, 12,"","","","",1212, -3,"","","","","",""
 -5, -5, -3,  1,  5,  8, 10, 10,  9,  6,  4,  2,  1,  1,  3,  6, 10, 12, 13, 13, 10,  7,  2, -1,23, 2,25, 641, 10,1814, 13,"","","","", 032, -6,1229,  1,"","","",""
 -4, -6, -5, -3,  0,  3,  5,  7,  8,  7,  6,  6,  6,  6,  7,  9, 11, 13, 14, 14, 13, 10,  7,  3,23, 2,26, 8 1,  8,1831, 15,"","","","", 128, -6,1148,  6,"","","",""
 -1, -3, -5, -5, -3, -1,  1,  4,  5,  7,  7,  8,  9,  9, 10, 12, 13, 15, 16, 16, 15, 13, 10,  7,23, 2,27,1841, 16,"","","","","","", 228, -5,"","","","","",""
  4,  1, -2, -3, -3, -3, -1,  1,  3,  5,  7,  8, 10, 12, 13, 14, 15, 16, 17, 17, 17, 16, 14, 11,23, 2,28,1845, 17,"","","","","","", 341, -3,"","","","","",""
  8,  5,  2,  0, -2, -2, -2, -1,  1,  3,  6,  8, 10, 12, 14, 16, 17, 17, 18, 18, 18, 17, 16, 14,23, 3, 1,1845, 18,"","","","","","", 514, -2,"","","","","",""
 12,  9,  6,  4,  1, -1, -2, -2, -1,  1,  4,  7, 10, 12, 14, 16, 16, 17, 17, 17, 17, 17, 17, 16,23, 3, 2,19 6, 17,"","","","","","", 631, -2,"","","","","",""
 15, 13, 10,  7,  4,  1, -1, -2, -2, -1,  2,  5,  8, 11, 13, 15, 15, 16, 16, 16, 16, 16, 17, 17,23, 3, 3,2259, 17,"","","","","","", 725, -2,"","","","","",""
 17, 15, 13, 10,  6,  3,  0, -2, -3, -3, -1,  2,  6,  9, 11, 13, 14, 14, 13, 13, 13, 14, 15, 16,23, 3, 4,"","","","","","","","", 8 8, -3,"","","","","",""
 17, 16, 15, 12,  9,  5,  1, -2, -4, -5, -3, -1,  3,  7,  9, 11, 12, 11, 11, 10, 10, 11, 12, 13,23, 3, 5, 017, 17,1613, 12,"","","","", 844, -5,1942, 10,"","","",""
